id_no,binomial,presence,origin,shape_Area
739,Akodon kofordi,1,1,1.01186256
739,Akodon kofordi,1,1,0.08548249
741,Akodon latebricola,1,1,0.487042065
136729,Akodon leucolimnaeus,1,1,0.013451275
136729,Akodon leucolimnaeus,1,1,0.01693145
742,Akodon lindberghi,1,1,0.333861534
742,Akodon lindberghi,1,1,0.19133955
742,Akodon lindberghi,1,1,0.06529827
753,Akodon lutescens,1,1,15.44185105
746,Akodon mimus,1,1,4.852972521
747,Akodon molinae,1,1,0.0001804
747,Akodon molinae,1,1,0.00006086
747,Akodon molinae,1,1,0.000254305
747,Akodon molinae,1,1,0.00119409
747,Akodon molinae,1,1,0.000291655
747,Akodon molinae,1,1,0.016923455
747,Akodon molinae,1,1,0.0004069
747,Akodon molinae,1,1,0.00243664
747,Akodon molinae,1,1,0.00025847
747,Akodon molinae,1,1,7.726E-05
747,Akodon molinae,1,1,0.00047796
747,Akodon molinae,1,1,0.00509192
747,Akodon molinae,1,1,6.169E-05
747,Akodon molinae,1,1,0.00016774
747,Akodon molinae,1,1,8.1965E-05
747,Akodon molinae,1,1,0.00128195
747,Akodon molinae,1,1,9.236E-05
747,Akodon molinae,1,1,0.00068169
747,Akodon molinae,1,1,0.000250135
747,Akodon molinae,1,1,0.00021888
747,Akodon molinae,1,1,0.00018761
747,Akodon molinae,1,1,0.00065033
747,Akodon molinae,1,1,5.5845E-05
747,Akodon molinae,1,1,0.00108547
747,Akodon molinae,1,1,8.759E-05
747,Akodon molinae,1,1,4.496E-05
747,Akodon molinae,1,1,0.002347535
747,Akodon molinae,1,1,0.000386175
747,Akodon molinae,1,1,0.0005126
747,Akodon molinae,1,1,0.00231508
747,Akodon molinae,1,1,44.08325592
748,Akodon mollis,1,1,21.7062066
136197,Akodon montensis,1,1,0.000193335
136197,Akodon montensis,1,1,5.597E-05
136197,Akodon montensis,1,1,4.998E-05
136197,Akodon montensis,1,1,93.58100588
136197,Akodon montensis,1,1,6.172E-05
136197,Akodon montensis,1,1,5.7095E-05
136197,Akodon montensis,1,1,6.3E-05
136197,Akodon montensis,1,1,0.00010831
136197,Akodon montensis,1,1,6.623E-05
136197,Akodon montensis,1,1,5.205E-05
136197,Akodon montensis,1,1,5.802E-05
136197,Akodon montensis,1,1,7.004E-05
136197,Akodon montensis,1,1,7.7215E-05
136197,Akodon montensis,1,1,0.00096389
136197,Akodon montensis,1,1,0.00027179
136197,Akodon montensis,1,1,0.00013474
136197,Akodon montensis,1,1,7.247E-05
136197,Akodon montensis,1,1,7.0325E-05
136197,Akodon montensis,1,1,6.486E-05
136197,Akodon montensis,1,1,0.00011388
136197,Akodon montensis,1,1,0.000394685
136197,Akodon montensis,1,1,5.895E-05
136197,Akodon montensis,1,1,4.007E-05
136197,Akodon montensis,1,1,5.734E-05
136197,Akodon montensis,1,1,6.573E-05
136197,Akodon montensis,1,1,0.03027801
136197,Akodon montensis,1,1,7.2185E-05
136197,Akodon montensis,1,1,0.000161045
136197,Akodon montensis,1,1,0.04096376
136197,Akodon montensis,1,1,4.584E-05
136197,Akodon montensis,1,1,0.00910963
136197,Akodon montensis,1,1,0.00067857
136197,Akodon montensis,1,1,3.7865E-05
136197,Akodon montensis,1,1,0.00012836
136197,Akodon montensis,1,1,4.9E-05
136197,Akodon montensis,1,1,1.451E-05
136197,Akodon montensis,1,1,9.71E-05
136197,Akodon montensis,1,1,7.5575E-05
136197,Akodon montensis,1,1,0.00093669
136197,Akodon montensis,1,1,0.002663605
136197,Akodon montensis,1,1,0.000465535
136197,Akodon montensis,1,1,5.954E-05
136197,Akodon montensis,1,1,8.0105E-05
136197,Akodon montensis,1,1,0.000250415
136197,Akodon montensis,1,1,0.00089562
136197,Akodon montensis,1,1,5.2695E-05
136197,Akodon montensis,1,1,0.000129595
136197,Akodon montensis,1,1,0.00058675
136197,Akodon montensis,1,1,4.812E-05
136197,Akodon montensis,1,1,0.01661358
136197,Akodon montensis,1,1,9.789E-05
136197,Akodon montensis,1,1,0.000632985
136197,Akodon montensis,1,1,9.724E-05
136197,Akodon montensis,1,1,2.611E-05
136197,Akodon montensis,1,1,5.944E-05
136197,Akodon montensis,1,1,5.471E-05
136197,Akodon montensis,1,1,3.8935E-05
136197,Akodon montensis,1,1,5.991E-05
136197,Akodon montensis,1,1,0.000302495
136197,Akodon montensis,1,1,9.172E-05
136197,Akodon montensis,1,1,0.00016329
136197,Akodon montensis,1,1,0.00071354
136260,Akodon mystax,1,1,0.004297245
136260,Akodon mystax,1,1,0.03649458
749,Akodon neocenus,1,1,3.735865431
136408,Akodon oenos,1,1,0.090375215
752,Akodon orophilus,1,1,2.77495738
136483,Akodon paranaensis,1,1,0.01298619
136483,Akodon paranaensis,1,1,29.65822897
136676,Akodon pervalens,1,1,2.526444595
136753,Akodon philipmyersi,1,1,0.19334437
136693,Akodon reigi,1,1,6.338774302
755,Akodon sanctipaulensis,1,1,0.06754461
756,Akodon serrensis,1,1,24.60891365
757,Akodon siberiae,1,1,2.733114131
758,Akodon simulator,1,1,14.05988504
759,Akodon spegazzinii,1,1,5.137009955
760,Akodon subfuscus,1,1,14.37452778
761,Akodon surdus,1,1,1.31901439
762,Akodon sylvanus,1,1,0.09990357
762,Akodon sylvanus,1,1,0.603181473
763,Akodon toba,1,1,39.12167315
764,Akodon torques,1,1,5.545744561
766,Akodon varius,1,1,20.96911587
811,Alcelaphus buselaphus,1,1,0.4777919
811,Alcelaphus buselaphus,1,1,5.33338369
811,Alcelaphus buselaphus,1,1,0.029680605
811,Alcelaphus buselaphus,1,1,0.593734975
811,Alcelaphus buselaphus,1,1,1.68474399
