"","id_no","binomial","presence","origin","shape_Area","TaxonID","Order","Family","Genus","Species","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","TaxonomicNote","FillCode","TrophicLevel","MammalEater","Insectivore","Frugivore","Granivore","Folivore","DataSource","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"29",264,"Acomys cilicicus",1,1,0.001771405,3330,"RODENTIA","MURIDAE","Acomys","cilicicus",2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,"",1,"Omnivore",0,0,0,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",265,"Acomys cineraceus",1,1,0.55437053,3331,"RODENTIA","MURIDAE","Acomys","cineraceus",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",136471,"Acomys dimidiatus",1,1,0.541530775,3332,"RODENTIA","MURIDAE","Acomys","dimidiatus",2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,"Not Recorded",1,"Omnivore",0,0,0,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",266,"Acomys ignitus",1,1,8.561375735,3333,"RODENTIA","MURIDAE","Acomys","ignitus",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",44938,"Acomys johannis",1,1,33.01588113,3334,"RODENTIA","MURIDAE","Acomys","johannis",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Not Recorded",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",267,"Acomys kempi",1,1,46.32145565,3335,"RODENTIA","MURIDAE","Acomys","kempi",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",268,"Acomys louisae",1,1,56.35100121,3336,"RODENTIA","MURIDAE","Acomys","louisae",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",269,"Acomys minous",1,1,0.826290065,3337,"RODENTIA","MURIDAE","Acomys","minous",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,"Herbivore",0,0,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",270,"Acomys mullah",1,1,13.28094212,3338,"RODENTIA","MURIDAE","Acomys","mullah",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",271,"Acomys nesiotes",1,5,0.916136234,3339,"RODENTIA","MURIDAE","Acomys","nesiotes",2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,"",1,"Omnivore",0,0,0,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
