TaxonID,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TaxonomicNote,FillCode,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,DataSource
83,PRIMATES,ATELIDAE,Lagothrix,poeppigii,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,0,Family Cebidae in Nowak 1999,1,Herbivore,0,0,1,0,0,Extrapolated
85,PRIMATES,ATELIDAE,Oreonax,flavicauda,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,0,In the book Oronax belong to CEBIDAE,0,Herbivore,0,0,1,0,0,Nowak
106,RODENTIA,BATHYERGIDAE,Bathyergus,janetta,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,3,Herbivore,0,0,0,0,0,Extrapolated
107,RODENTIA,BATHYERGIDAE,Bathyergus,suillus,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,3,Herbivore,0,0,0,0,0,Extrapolated
109,RODENTIA,BATHYERGIDAE,Cryptomys,anselli,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,Not listed,1,Herbivore,0,0,0,0,1,Extrapolated
110,RODENTIA,BATHYERGIDAE,Cryptomys,bocagei,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
111,RODENTIA,BATHYERGIDAE,Cryptomys,damarensis,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
112,RODENTIA,BATHYERGIDAE,Cryptomys,darlingi,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
113,RODENTIA,BATHYERGIDAE,Cryptomys,foxi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,Carnivore,0,1,0,0,0,IUCN
114,RODENTIA,BATHYERGIDAE,Cryptomys,hottentotus,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
115,RODENTIA,BATHYERGIDAE,Cryptomys,kafuensis,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
116,RODENTIA,BATHYERGIDAE,Cryptomys,mechowi,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
117,RODENTIA,BATHYERGIDAE,Cryptomys,ochraceocinereus,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
118,RODENTIA,BATHYERGIDAE,Cryptomys,zechi,3,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,,1,Herbivore,0,0,0,0,1,Extrapolated
120,RODENTIA,BATHYERGIDAE,Georychus,capensis,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0,Herbivore,0,0,0,0,0,Nowak
122,RODENTIA,BATHYERGIDAE,Heliophobius,argenteocinereus,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1,Herbivore,0,0,0,0,0,Extrapolated
124,RODENTIA,BATHYERGIDAE,Heterocephalus,glaber,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,3,Herbivore,0,0,0,0,0,Extrapolated
127,CETARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,Herbivore,0,0,0,0,0,Nowak
129,CETARTIODACTYLA,BOVIDAE,Aepyceros,melampus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
