"","id_no","binomial","presence","origin","shape_Area","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"3031",14190,"Myotis pequinius",1,1,55.24926258,4646,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",9.52,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3032",14193,"Myotis pilosus",1,1,2.90180946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3033",14191,"Myotis planiceps",1,1,1.096336301,4647,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",5.36,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3034",14192,"Myotis pruinosus",1,1,0.005198135,4631,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",7.25,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3035",44864,"Myotis punicus",1,1,58.88676708,4641,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1","A","A","",1,0,0,"Ref_1","ABC",7.74,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3036",14194,"Myotis ridleyi",1,1,8.26940691,4626,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",4.5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3037",14195,"Myotis riparius",1,1,1177.711676,4635,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",5.55,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3038",14196,"Myotis rosseti",1,1,39.06139331,4644,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",3.29,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3039",14197,"Myotis ruber",1,1,158.8927566,4640,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3040",136411,"Myotis rufopictus",1,1,0.038820725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
