eco_code,area_km2
NT0704,1910038
NT0705,29
NT0707,104510
NT0708,291590
NT0709,375787
NT0710,352496
NT0801,298735
NT0802,353640
NT0803,398555
NT0805,576599
NT0902,5647
NT0903,628
NT0904,20028
NT0905,2924
NT0906,5988
NT0907,170501
NT0908,37099
NT0909,26867
NT1001,254929
NT1002,211478
NT1003,116948
NT1004,12120
NT1005,2798
NT1006,29810
NT1007,1239
NT1008,124779
NT1010,116569
NT1201,148381
NT1301,5260
NT1303,104903
NT1304,731320
NT1305,3118
NT1306,3256
NT1307,7978
NT1308,31477
NT1309,68181
NT1311,8
NT1312,2328
NT1313,15909
NT1314,3867
NT1315,184213
NT1316,9862
NT1318,6
NT1401,40894
NT1402,17859
NT1403,26658
NT1404,8174
NT1405,13461
NT1406,10025
NT1407,7827
OC0101,578
OC0102,612
OC0103,212
OC0104,531
OC0105,11572
OC0106,6718
OC0107,34
OC0108,1074
OC0109,96
OC0110,460
OC0111,178
OC0112,3083
OC0113,1620
OC0114,938
OC0115,943
OC0116,142
OC0117,93
OC0201,6890
OC0202,6614
OC0203,1032
OC0204,101
OC0701,1848
OC0702,1518
OC0703,15
PA0101,269132
PA0102,239854
PA0401,16147
PA0402,400447
PA0403,2617
PA0404,224768
PA0405,117107
PA0406,79846
PA0407,55132
PA0408,170538
PA0409,210027
PA0410,101493
PA0411,359867
PA0412,733978
PA0413,104602
PA0414,93438
PA0415,437582
PA0416,30215
PA0417,168170
PA0418,58286
PA0419,730128
PA0420,81628
PA0421,45770
PA0422,74513
PA0423,25583
PA0424,434240
PA0425,814
PA0426,505287
PA0427,21637
PA0428,82360
PA0429,38835
PA0430,232909
PA0431,307716
PA0432,42461
PA0433,25930
PA0434,123278
PA0435,31685
PA0436,850317
PA0437,98009
PA0438,12563
PA0439,14724
PA0440,138266
PA0441,41913
PA0442,54533
PA0443,197954
PA0444,224488
PA0445,493836
PA0446,397569
PA0501,149871
PA0502,142875
PA0503,22112
PA0504,125335
PA0505,249275
PA0506,20071
PA0507,63287
PA0508,24704
PA0509,99291
PA0510,45853
PA0511,11505
PA0512,2902
PA0513,23091
PA0514,46220
PA0515,101410
PA0516,82699
PA0517,16653
PA0518,80134
PA0519,358833
PA0520,19401
PA0521,27568
PA0601,3922555
PA0602,92077
PA0603,147064
PA0604,15294
PA0605,1133262
PA0606,403504
PA0607,68944
PA0608,2170288
PA0609,201186
PA0610,175548
PA0611,1680245
PA0801,127683
PA0802,83192
PA0803,24934
PA0804,209634
PA0805,168382
PA0806,65135
PA0807,1457
PA0808,168170
PA0809,422308
PA0810,807557
PA0811,72199
PA0812,132288
PA0813,889460
PA0814,997073
PA0815,34057
PA0816,228369
PA0817,162600
PA0818,129231
PA0901,123622
PA0902,11565
PA0903,23260
PA0904,50953
PA0905,53854
PA0906,35573
PA0907,33836
PA0908,5320
PA1001,90434
PA1002,629190
PA1003,121014
PA1004,66482
PA1005,28268
PA1006,143265
PA1007,37168
PA1008,58319
PA1009,126224
PA1010,6328
PA1011,374494
PA1012,49390
PA1013,215604
PA1014,118072
PA1015,73285
PA1016,81213
PA1017,460542
PA1018,23850
PA1019,280611
PA1020,271999
PA1021,70090
PA1022,59381
PA1101,162810
PA1102,477269
PA1103,560461
PA1104,300485
PA1105,119889
PA1106,59185
PA1107,224278
PA1108,286282
PA1109,37247
PA1110,244865
PA1111,962154
PA1112,218608
PA1113,7600
PA1114,415131
PA1201,133558
PA1202,86393
PA1203,4967
PA1204,3634
PA1205,8192
PA1206,9273
PA1207,143853
PA1208,34461
PA1209,297956
PA1210,40639
PA1211,102225
PA1212,99975
PA1213,292082
PA1214,358243
PA1215,90851
PA1216,57406
PA1217,39584
PA1218,13095
PA1219,2868
PA1220,76475
PA1221,71123
PA1222,85084
PA1301,13682
PA1302,674352
PA1303,1847461
PA1304,39887
PA1305,64089
PA1306,133647
PA1307,288424
PA1308,267976
PA1309,139333
PA1310,663853
PA1311,88800
PA1312,567376
PA1313,580655
PA1314,282368
PA1315,139714
PA1316,157706
PA1317,304938
PA1318,680441
