"","id_no","binomial","presence","origin","shape_Area","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"2792",136832,"Mormopterus loriae",1,1,28.82060623,"Mammalia","Chiroptera","Molossidae","Mormopterus","loriae",-999,"Loria's Mastiff Bat",377.37,0.99,1,8.12,6.491666667,106.86,-999,2.06,-999,-999,-999,-999,6.491666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.628,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2793",13884,"Mormopterus minutus",1,1,3.939761252,"Mammalia","Chiroptera","Molossidae","Mormopterus","minutus",-999,"Little Goblin Bat",-999,-999,-999,4.27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2794",13885,"Mormopterus norfolkensis",1,1,7.11405031,"Mammalia","Chiroptera","Molossidae","Mormopterus","norfolkensis",-999,"Eastern Little Mastiff Bat",-999,1,-999,8,7,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2795",13887,"Mormopterus phrudus",1,1,0.108190203,"Mammalia","Chiroptera","Molossidae","Mormopterus","phrudus",-999,"Incan Little Mastiff Bat",-999,-999,-999,6.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2796",13888,"Mormopterus planiceps",1,1,0.438686015,"Mammalia","Chiroptera","Molossidae","Mormopterus","planiceps",-999,"Southern Free-tailed Bat",377.37,0.99,1,9.24,6.491666667,106.86,-999,2.06,-999,-999,-999,-999,6.491666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.628,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2797",136585,"Moschiola indica",1,1,174.873713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2798",136799,"Moschiola kathygre",1,1,1.054041044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2799",41779,"Moschiola meminna",1,1,4.371645323,"Mammalia","Artiodactyla","Tragulidae","Moschiola","meminna",-999,"Indian Spotted Chevrotain",-999,1.5,-999,2450,14.5,150.35384,-999,319,-999,-999,-999,-999,14.475,-999,-999,-999,-999,-999,-999,-999,-999,64.5,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2800",136643,"Moschus anhuiensis",1,1,1.22871757,"Mammalia","Artiodactyla","Moschidae","Moschus","anhuiensis",-999,"Anhui Musk Deer",479.81772,1.6,1,12488.705,13.89166667,175.92,47.14,511.195,-999,-999,-999,-999,12.94583333,-999,-999,-999,-999,-999,-999,-999,-999,89.999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801",13894,"Moschus berezovskii",1,1,148.0502382,"Mammalia","Artiodactyla","Moschidae","Moschus","berezovskii",-999,"Forest Musk Deer",-999,1.455,1,11688.705,-999,184.24,47.14,526.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,94.9995,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
