id_no,binomial,presence,origin,shape_Area
1584,Antechinus leo,1,1,0.36627188
40525,Antechinus minimus,1,1,0.000162375
40526,Antechinus stuartii,1,1,11.30191748
136755,Antechinus subtropicus,1,1,0.005899302
41508,Antechinus swainsonii,1,1,5.84999897
1620,Anthops ornatus,1,1,0.708725095
1676,Antidorcas marsupialis,1,1,174.8534699
1677,Antilocapra americana,1,2,0.29169628
1681,Antilope cervicapra,1,1,147.4057672
1790,Antrozous pallidus,1,1,419.0389277
1793,Aonyx capensis,1,1,990.2336006
44166,Aonyx cinereus,1,1,0.946145811
1794,Aonyx congicus,1,1,238.1149744
41539,Aotus azarae,1,1,38.15598397
39915,Aotus brumbacki,1,1,10.09992761
1807,Aotus griseimembra,1,1,19.22273354
136211,Aotus jorgehernandezi,1,1,0.096740165
1808,Aotus lemurinus,1,1,14.44743267
1802,Aotus miconax,1,1,4.87386977
41540,Aotus nancymaae,1,1,40.2244359
41542,Aotus nigriceps,1,1,127.2380092
41543,Aotus trivirgatus,1,1,61.18719265
41544,Aotus vociferans,1,1,82.6756654
39953,Aotus zonalis,1,1,12.66228798
1869,Aplodontia rufa,1,1,3.959474491
1888,Apodemus agrarius,1,1,5.852388636
1907,Apodemus alpicola,1,1,12.99615353
42642,Apodemus argenteus,1,1,0.090951335
1890,Apodemus chevrieri,1,1,66.74038733
1891,Apodemus draco,1,1,148.1451337
136816,Apodemus epimelas,1,1,18.39124877
1892,Apodemus flavicollis,1,1,5.07E-05
1894,Apodemus gurkha,1,1,0.150620695
1896,Apodemus hyrcanicus,1,1,0.161688516
1897,Apodemus latronum,1,1,50.49198993
1898,Apodemus mystacinus,1,1,79.08699779
1906,Apodemus pallipes,1,1,77.22675183
1899,Apodemus peninsulae,1,1,8.690085353
1900,Apodemus ponticus,1,1,37.65282058
1901,Apodemus rusiges,1,1,9.592563386
1902,Apodemus semotus,1,1,3.003857197
1903,Apodemus speciosus,1,1,23.00827591
1904,Apodemus sylvaticus,1,1,0.000250413
1905,Apodemus uralensis,1,1,0.181892832
135724,Apodemus witherbyi,1,1,157.6568105
42643,Apomys abrae,1,1,0.98512183
136362,Apomys camiguinensis,1,1,0.006064325
1910,Apomys datae,1,1,0.98512183
1917,Apomys gracilirostris,1,1,0.047645955
1911,Apomys hylocetes,1,1,0.34452474
1912,Apomys insignis,1,1,7.715324905
1913,Apomys littoralis,1,1,0.64705844
1914,Apomys microdon,1,1,1.014075815
1915,Apomys musculus,1,1,1.011371265
1916,Apomys sacobianus,1,1,0.02853606
1933,Aproteles bulmerae,1,1,0.00080378
9918,Arabitragus jayakari,1,1,2.795853065
2017,Arborimus albipes,1,1,8.651828856
42615,Arborimus longicaudus,1,1,6.052494185
2018,Arborimus pomo,1,1,2.32223409
2045,Archboldomys luzonensis,1,1,0.00185556
41690,Arctictis binturong,1,1,0.946755115
2053,Arctocebus aureus,1,1,54.26879658
2054,Arctocebus calabarensis,1,1,12.11740745
41691,Arctogalidia trivirgata,1,1,0.007295825
41625,Arctonyx collaris,1,1,5.912569269
2089,Ardops nichollsi,1,1,0.008677215
40031,Arielulus aureocollaris,1,1,0.009354875
41534,Arielulus circumdatus,1,1,0.07606901
40775,Arielulus cuprosus,1,1,0.008724755
40776,Arielulus societatis,1,1,1.000459192
40032,Arielulus torquatus,1,1,3.180001875
2110,Ariteus flavescens,1,1,0.941051415
2121,Artibeus amplus,1,1,134.2937114
2122,Artibeus anderseni,1,1,334.6879664
2123,Artibeus aztecus,1,1,9.245638399
2124,Artibeus cinereus,1,1,282.2844946
2125,Artibeus concolor,1,1,525.519228
2126,Artibeus fimbriatus,1,1,130.5993014
2127,Artibeus fraterculus,1,1,24.75404993
2129,Artibeus gnomus,1,1,823.0497765
2131,Artibeus hirsutus,1,1,20.07580664
2132,Artibeus inopinatus,1,1,3.430599125
2135,Artibeus jamaicensis,1,1,9.30224877
2136,Artibeus lituratus,1,1,1183.356105
2137,Artibeus obscurus,1,1,921.5634892
2139,Artibeus planirostris,1,1,656.1538962
136505,Artibeus rosenbergii,1,1,0.00020674
2140,Artibeus toltecus,1,1,7.951567149
2141,Artibeus watsoni,1,1,46.20807691
2144,Arvicanthis abyssinicus,1,1,24.5281138
44991,Arvicanthis ansorgei,1,1,53.58645874
2145,Arvicanthis blicki,1,1,1.01863859
2146,Arvicanthis nairobae,1,1,12.29215432
2148,Arvicanthis neumanni,1,1,69.51263231
2147,Arvicanthis niloticus,1,1,449.8596668
44992,Arvicanthis rufinus,1,1,94.72345867
2149,Arvicola amphibius,1,1,28.21000762
2150,Arvicola sapidus,1,1,98.86898829
136766,Arvicola scherman,1,1,89.82132079
2153,Asellia patrizii,1,1,0.054987676
2154,Asellia tridens,1,1,4.39E-05
2155,Aselliscus stoliczkanus,1,1,0.01619085
2156,Aselliscus tricuspidatus,1,1,0.072920215
40602,Atelerix albiventris,1,1,578.6655494
27926,Atelerix algirus,1,1,64.93580876
2274,Atelerix frontalis,1,1,63.34619535
2275,Atelerix sclateri,1,1,25.36963398
2276,Ateles belzebuth,1,1,46.05469547
41547,Ateles chamek,1,1,200.9174816
135446,Ateles fusciceps,1,1,2.90129247
